Compound,predicted_stable_unstable,#_Atoms,Lattice Parameter (Angstroms),Density (g/cm^3),Vol/Atom,Mass,Total_Energy (eV/atom),Magnetic_Moment,Band_Gap (eV),Band Gap Type,Volume (Angstroms^3),Bulk Modulus (Gpa),avg_CN,DOSmass_CB,Nb_CB,bmass_CB,mobility_n,DOSmass_VB,Nb_VB,bmass_VB,mobility_p,gamma,kappa_L_ac,kappa_L_oc,kappa_L,beta_n,beta_p,dos_mass_tol
TaOsBi,unstable,3,6.338,15.134,21.218,321.125,-8.83,0,0.132,MBJ,63.655,170.245,5.333,2.411,3,1.159,16.368,2.528,8,0.632,40.667,1.255,13.374,1.044,14.417,3.89,14.93,0.4
TaOsP,unstable,3,5.89,13.07,17.031,222.596,-9.873,0,0.049,PBE,51.094,219.375,5.333,0.183,3,0.088,1005.257,2.372,8,0.593,57.653,1.255,24.236,1.372,25.608,13.24,11.253,0.4
TaOsSb,stable,3,6.217,13.622,20.029,272.847,-9.327,0,0.551,PBE,60.088,193.959,5.333,0.724,3,0.348,113.447,2.516,8,0.629,46.648,1.255,19.535,1.197,20.732,6.346,11.861,0.4
TaPtAl,unstable,3,6.052,12.079,18.468,223.073,-7.918,0,0.572,PBE,55.405,178.819,5.333,0.647,3,0.311,123.767,2.776,8,0.694,37.112,1.255,17.894,1.254,19.148,6.776,11.162,0.4
TaPtB,unstable,3,5.733,13.634,15.706,214.123,-8.178,0,1.327,PBE,47.117,215.282,5.333,1.08,3,0.519,69.073,6.746,3,3.243,4.423,1.255,20.921,1.367,22.289,5.153,1.716,0.4
TaPtGa,stable,3,6.045,13.402,18.41,246.731,-7.554,0,0.94,PBE,55.23,181.458,5.333,0.895,3,0.43,77.138,4.401,11,0.89,25.941,1.255,16.253,1.201,17.454,6.208,14.719,0.4
TaPtIn,unstable,3,6.259,13.299,20.429,271.692,-7.203,0,0.923,PBE,61.288,161.87,5.333,2.308,3,1.11,16.615,4.024,3,1.935,7.219,1.255,13.648,1.099,14.747,3.712,2.659,0.4
TaPtTl,unstable,3,6.322,15.255,21.06,321.267,-6.724,0,0.952,PBE,63.18,152.878,5.333,3.518,3,1.691,8.342,3.945,3,1.896,7.025,1.255,10.382,0.987,11.369,3.532,28.83,0.4
TaRhC,unstable,3,5.557,11.45,14.302,163.765,-8.722,0,0.645,PBE,42.907,214.239,5.333,0.32,3,0.154,425.167,5.181,11,1.047,23.982,1.255,24.052,1.536,25.588,9.259,10.749,0.4
TaRhGe,stable,3,5.961,11.18,17.65,197.324,-8.421,0,1.07,PBE,52.95,186.818,5.333,0.853,3,0.41,85.417,9.161,11,1.852,8.893,1.255,21.021,1.353,22.374,5.133,7.614,0.4
TaRhPb,unstable,3,6.266,13.26,20.499,271.804,-7.637,0,1.049,PBE,61.496,151.718,5.333,2.86,3,1.375,11.292,6.398,3,3.076,3.375,1.255,11.892,1.065,12.957,3.482,2.148,0.4
TaRhSi,other_structure,3,5.885,10.168,16.981,172.662,-8.827,0,0.868,PBE,50.944,197.92,5.333,0.64,3,0.308,139.215,7.415,8,1.854,9.41,1.255,26.137,1.479,27.616,5.234,4.751,0.4
